Id,DayOfWeek,Date,Customers,Open,Promo,SchoolHoliday,StateHoliday_0,StateHoliday_a,StateHoliday_b,StateHoliday_c,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,StoreType_a,StoreType_c,StoreType_d,Assortment_a,Assortment_c,Store_1,Store_10,Store_11,Store_12,Store_13,Store_14,Store_15,Store_16,Store_17,Store_18,Store_19,Store_2,Store_20,Store_3,Store_4,Store_5,Store_6,Store_7,Store_8,Store_9,sin_dia_do_mes,cos_dia_do_mes,sin_mes,cos_mes
12,4,2015-09-17,0,1.0,1,0,1,0,0,0,3270.0,9.0,2009.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2993631229733582,-0.9541392564000488,-1.0,-1.8369701987210297e-16
13,4,2015-09-17,0,1.0,1,0,1,0,0,0,3240.0,9.0,2009.0,1,22.0,2011.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.2993631229733582,-0.9541392564000488,-1.0,-1.8369701987210297e-16
14,4,2015-09-17,0,1.0,1,0,1,0,0,0,2340.0,5.0,2009.0,1,40.0,2014.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.2993631229733582,-0.9541392564000488,-1.0,-1.8369701987210297e-16
857,3,2015-09-16,0,1.0,1,0,1,0,0,0,1270.0,9.0,2008.0,0,14.0,2011.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
858,3,2015-09-16,0,1.0,1,0,1,0,0,0,14130.0,12.0,2006.0,1,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
859,3,2015-09-16,0,1.0,1,0,1,0,0,0,24000.0,4.0,2013.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
860,3,2015-09-16,0,1.0,1,0,1,0,0,0,7520.0,10.0,2014.0,0,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
861,3,2015-09-16,0,1.0,1,0,1,0,0,0,2030.0,8.0,2000.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
862,3,2015-09-16,0,1.0,1,0,1,0,0,0,3160.0,9.0,2009.0,0,14.0,2011.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
863,3,2015-09-16,0,1.0,1,0,1,0,0,0,960.0,11.0,2011.0,1,1.0,2012.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
864,3,2015-09-16,0,1.0,1,0,1,0,0,0,1070.0,9.0,2009.0,1,13.0,2010.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
865,3,2015-09-16,0,1.0,1,0,1,0,0,0,310.0,9.0,2009.0,1,45.0,2009.0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
866,3,2015-09-16,0,1.0,1,0,1,0,0,0,1300.0,3.0,2014.0,1,40.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
867,3,2015-09-16,0,1.0,1,0,1,0,0,0,4110.0,3.0,2010.0,1,14.0,2011.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
868,3,2015-09-16,0,1.0,1,0,1,0,0,0,3270.0,9.0,2009.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
869,3,2015-09-16,0,1.0,1,0,1,0,0,0,3240.0,9.0,2009.0,1,22.0,2011.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
870,3,2015-09-16,0,1.0,1,0,1,0,0,0,2340.0,5.0,2009.0,1,40.0,2014.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.10116832198743204,-0.9948693233918952,-1.0,-1.8369701987210297e-16
1713,2,2015-09-15,0,1.0,1,0,1,0,0,0,1270.0,9.0,2008.0,0,14.0,2011.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
1714,2,2015-09-15,0,1.0,1,0,1,0,0,0,14130.0,12.0,2006.0,1,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
1715,2,2015-09-15,0,1.0,1,0,1,0,0,0,24000.0,4.0,2013.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
1716,2,2015-09-15,0,1.0,1,0,1,0,0,0,7520.0,10.0,2014.0,0,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
1717,2,2015-09-15,0,1.0,1,0,1,0,0,0,2030.0,8.0,2000.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
1718,2,2015-09-15,0,1.0,1,0,1,0,0,0,3160.0,9.0,2009.0,0,14.0,2011.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
1719,2,2015-09-15,0,1.0,1,0,1,0,0,0,960.0,11.0,2011.0,1,1.0,2012.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
1720,2,2015-09-15,0,1.0,1,0,1,0,0,0,1070.0,9.0,2009.0,1,13.0,2010.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
1721,2,2015-09-15,0,1.0,1,0,1,0,0,0,310.0,9.0,2009.0,1,45.0,2009.0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
1722,2,2015-09-15,0,1.0,1,0,1,0,0,0,1300.0,3.0,2014.0,1,40.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
1723,2,2015-09-15,0,1.0,1,0,1,0,0,0,4110.0,3.0,2010.0,1,14.0,2011.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
1724,2,2015-09-15,0,1.0,1,0,1,0,0,0,3270.0,9.0,2009.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
1725,2,2015-09-15,0,1.0,1,0,1,0,0,0,3240.0,9.0,2009.0,1,22.0,2011.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
1726,2,2015-09-15,0,1.0,1,0,1,0,0,0,2340.0,5.0,2009.0,1,40.0,2014.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.10116832198743272,-0.994869323391895,-1.0,-1.8369701987210297e-16
2569,1,2015-09-14,0,1.0,1,0,1,0,0,0,1270.0,9.0,2008.0,0,14.0,2011.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
2570,1,2015-09-14,0,1.0,1,0,1,0,0,0,14130.0,12.0,2006.0,1,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
2571,1,2015-09-14,0,1.0,1,0,1,0,0,0,24000.0,4.0,2013.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
2572,1,2015-09-14,0,1.0,1,0,1,0,0,0,7520.0,10.0,2014.0,0,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
2573,1,2015-09-14,0,1.0,1,0,1,0,0,0,2030.0,8.0,2000.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
2574,1,2015-09-14,0,1.0,1,0,1,0,0,0,3160.0,9.0,2009.0,0,14.0,2011.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
2575,1,2015-09-14,0,1.0,1,0,1,0,0,0,960.0,11.0,2011.0,1,1.0,2012.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
2576,1,2015-09-14,0,1.0,1,0,1,0,0,0,1070.0,9.0,2009.0,1,13.0,2010.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
2577,1,2015-09-14,0,1.0,1,1,1,0,0,0,310.0,9.0,2009.0,1,45.0,2009.0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
2578,1,2015-09-14,0,1.0,1,0,1,0,0,0,1300.0,3.0,2014.0,1,40.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
2579,1,2015-09-14,0,1.0,1,0,1,0,0,0,4110.0,3.0,2010.0,1,14.0,2011.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
2580,1,2015-09-14,0,1.0,1,0,1,0,0,0,3270.0,9.0,2009.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
2581,1,2015-09-14,0,1.0,1,0,1,0,0,0,3240.0,9.0,2009.0,1,22.0,2011.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
2582,1,2015-09-14,0,1.0,1,1,1,0,0,0,2340.0,5.0,2009.0,1,40.0,2014.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.29936312297335804,-0.9541392564000488,-1.0,-1.8369701987210297e-16
3425,7,2015-09-13,0,0.0,0,0,1,0,0,0,1270.0,9.0,2008.0,0,14.0,2011.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
3426,7,2015-09-13,0,0.0,0,0,1,0,0,0,14130.0,12.0,2006.0,1,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
3427,7,2015-09-13,0,0.0,0,0,1,0,0,0,24000.0,4.0,2013.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
3428,7,2015-09-13,0,0.0,0,0,1,0,0,0,7520.0,10.0,2014.0,0,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
3429,7,2015-09-13,0,0.0,0,0,1,0,0,0,2030.0,8.0,2000.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
3430,7,2015-09-13,0,0.0,0,0,1,0,0,0,3160.0,9.0,2009.0,0,14.0,2011.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
3431,7,2015-09-13,0,0.0,0,0,1,0,0,0,960.0,11.0,2011.0,1,1.0,2012.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
3432,7,2015-09-13,0,0.0,0,0,1,0,0,0,1070.0,9.0,2009.0,1,13.0,2010.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
3433,7,2015-09-13,0,0.0,0,0,1,0,0,0,310.0,9.0,2009.0,1,45.0,2009.0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
3434,7,2015-09-13,0,0.0,0,0,1,0,0,0,1300.0,3.0,2014.0,1,40.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
3435,7,2015-09-13,0,0.0,0,0,1,0,0,0,4110.0,3.0,2010.0,1,14.0,2011.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
3436,7,2015-09-13,0,0.0,0,0,1,0,0,0,3270.0,9.0,2009.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
3437,7,2015-09-13,0,0.0,0,0,1,0,0,0,3240.0,9.0,2009.0,1,22.0,2011.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
3438,7,2015-09-13,0,0.0,0,0,1,0,0,0,2340.0,5.0,2009.0,1,40.0,2014.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.48530196253108104,-0.8743466161445821,-1.0,-1.8369701987210297e-16
4281,6,2015-09-12,0,1.0,0,0,1,0,0,0,1270.0,9.0,2008.0,0,14.0,2011.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
4282,6,2015-09-12,0,1.0,0,0,1,0,0,0,14130.0,12.0,2006.0,1,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
4283,6,2015-09-12,0,1.0,0,0,1,0,0,0,24000.0,4.0,2013.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
4284,6,2015-09-12,0,1.0,0,0,1,0,0,0,7520.0,10.0,2014.0,0,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
4285,6,2015-09-12,0,1.0,0,0,1,0,0,0,2030.0,8.0,2000.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
4286,6,2015-09-12,0,1.0,0,0,1,0,0,0,3160.0,9.0,2009.0,0,14.0,2011.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
4287,6,2015-09-12,0,1.0,0,0,1,0,0,0,960.0,11.0,2011.0,1,1.0,2012.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
4288,6,2015-09-12,0,1.0,0,0,1,0,0,0,1070.0,9.0,2009.0,1,13.0,2010.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
4289,6,2015-09-12,0,1.0,0,0,1,0,0,0,310.0,9.0,2009.0,1,45.0,2009.0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
4290,6,2015-09-12,0,1.0,0,0,1,0,0,0,1300.0,3.0,2014.0,1,40.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
4291,6,2015-09-12,0,1.0,0,0,1,0,0,0,4110.0,3.0,2010.0,1,14.0,2011.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
4292,6,2015-09-12,0,1.0,0,0,1,0,0,0,3270.0,9.0,2009.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
4293,6,2015-09-12,0,1.0,0,0,1,0,0,0,3240.0,9.0,2009.0,1,22.0,2011.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
4294,6,2015-09-12,0,1.0,0,0,1,0,0,0,2340.0,5.0,2009.0,1,40.0,2014.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16
5137,5,2015-09-11,0,1.0,0,0,1,0,0,0,1270.0,9.0,2008.0,0,14.0,2011.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7907757369376989,-0.6121059825476626,-1.0,-1.8369701987210297e-16
5138,5,2015-09-11,0,1.0,0,0,1,0,0,0,14130.0,12.0,2006.0,1,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7907757369376989,-0.6121059825476626,-1.0,-1.8369701987210297e-16
5139,5,2015-09-11,0,1.0,0,0,1,0,0,0,24000.0,4.0,2013.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7907757369376989,-0.6121059825476626,-1.0,-1.8369701987210297e-16
5140,5,2015-09-11,0,1.0,0,0,1,0,0,0,7520.0,10.0,2014.0,0,14.0,2011.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7907757369376989,-0.6121059825476626,-1.0,-1.8369701987210297e-16
5141,5,2015-09-11,0,1.0,0,0,1,0,0,0,2030.0,8.0,2000.0,0,14.0,2011.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7907757369376989,-0.6121059825476626,-1.0,-1.8369701987210297e-16
5142,5,2015-09-11,0,1.0,0,0,1,0,0,0,3160.0,9.0,2009.0,0,14.0,2011.0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7907757369376989,-0.6121059825476626,-1.0,-1.8369701987210297e-16
5143,5,2015-09-11,0,1.0,0,0,1,0,0,0,960.0,11.0,2011.0,1,1.0,2012.0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7907757369376989,-0.6121059825476626,-1.0,-1.8369701987210297e-16
5144,5,2015-09-11,0,1.0,0,0,1,0,0,0,1070.0,9.0,2009.0,1,13.0,2010.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7907757369376989,-0.6121059825476626,-1.0,-1.8369701987210297e-16
5145,5,2015-09-11,0,1.0,0,1,1,0,0,0,310.0,9.0,2009.0,1,45.0,2009.0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7907757369376989,-0.6121059825476626,-1.0,-1.8369701987210297e-16
